Gene	p-value(Classical-line vs. B10)	fold change(Classical-line vs. B10)	p-value(Mesenchymal-line vs. B10)	fold change(Mesenchymal-line vs. B10)	p-value(Proneural-line vs. B10)	fold change(Proneural-line vs. B10)	p-value(Classical-tex vs. TOTBRAIN)	fold change(Classical-tex vs. TOTBRAIN)	p-value(Mesenchymal-tex vs. TOTBRAIN)	fold change(Mesenchymal-tex vs. TOTBRAIN)	p-value(Proneural-tex vs. TOTBRAIN)	fold change(Proneural-tex vs. TOTBRAIN)	
NCAPH	0.877314	1.03272	0.34183	1.24458	0.507037	1.15421	0.000771472	2.33427	2.8358e-008	5.37585	2.53598e-010	11.3266	
FXYD1	0.79438	1.03273	0.489127	-1.0985	0.82081	-1.02932	0.0133839	1.42283	0.012813	-1.42633	0.792547	-1.04196	
KIAA1244	0.868072	1.03276	3.2525e-006	3.32286	0.0189828	1.63679	2.49128e-006	-3.38998	3.86736e-005	-2.7618	0.000217575	-2.78142	
MMADHC	0.871951	1.03289	0.00233244	2.06546	0.179213	1.32677	0.0875675	-1.46974	0.078665	-1.48732	0.0552247	-1.65244	
NPR3	0.797507	1.03293	0.052657	1.31872	0.452947	-1.1033	0.257748	-1.17139	0.656565	1.06352	0.126511	-1.28256	
GSTZ1	0.666605	1.03296	0.00223832	1.31373	0.0191925	1.20988	0.0549309	1.17712	0.611273	1.04283	0.184527	-1.1366	
SMC4	0.815383	1.03299	0.000397042	1.825	0.0170362	1.43261	1.09881e-007	2.84226	6.27835e-014	7.20165	1.17563e-014	11.3828	
ZNRF1	0.755278	1.03323	0.00943428	1.3713	0.30164	1.1194	0.0162522	-1.33625	0.0560657	-1.25387	0.826108	-1.02956	
MIR147B	0.690086	1.03329	0.305858	-1.09725	0.614584	-1.04367	0.860807	-1.01588	0.361871	1.08599	0.619322	1.053	
LECT2	0.533914	1.03332	0.146111	-1.08887	0.901012	-1.00677	0.821237	-1.01309	0.33583	1.0574	0.244277	-1.0814	
S1PR5	0.70845	1.03339	0.359968	-1.09266	0.89522	1.01201	1.33651e-006	-1.77419	0.000245901	-1.48657	0.00469691	-1.3996	
PRPF38A	0.816603	1.03375	0.0591677	1.35645	0.578238	-1.08586	0.0555494	1.36289	0.0212959	1.45892	0.460962	-1.14344	
COLEC12	0.902429	1.03379	0.369922	1.30738	0.92427	1.02697	0.199079	-1.47204	0.70114	-1.12085	0.164692	-1.62292	
RAET1K	0.651879	1.03382	0.0084645	1.25277	0.0012022	1.30955	0.0970594	1.14678	0.0010333	1.33717	0.00122893	1.39031	
LOC100507317	0.762563	1.03394	0.0827612	1.24018	0.78012	-1.03236	0.0890391	1.23463	0.00200563	1.50058	0.560804	1.08486	
TIMM8B	0.856764	1.03399	0.054143	1.4964	0.417939	-1.16851	0.0869285	-1.42748	0.922835	-1.01984	0.0232045	-1.7429	
UGT2B17	0.742715	1.03412	0.393264	-1.10085	0.531323	-1.06848	0.705593	-1.04322	0.935237	-1.00913	0.940713	-1.00965	
C7orf60	0.553912	1.03419	0.000164212	1.30317	0.0177266	1.15665	0.287618	-1.06886	0.0171654	-1.16789	1.28706e-005	-1.44782	
RFC1	0.771455	1.03432	0.00123415	1.56815	0.534492	1.07758	0.671984	1.05541	0.674407	1.05496	0.0267426	-1.4039	
C11orf58	0.778448	1.03443	0.0218626	1.37145	0.0880359	1.2425	0.621383	-1.06735	0.755471	-1.0419	0.169195	-1.2367	
LOC100509621	0.830203	1.03446	0.0960265	1.34292	0.443554	1.13384	0.835453	1.0366	0.318125	1.19028	0.207987	1.2904	
CDH22	0.763068	1.03453	0.0749934	1.25297	0.424885	1.09774	0.0415641	-1.29733	0.0618142	-1.26769	0.323413	-1.15227	
SLC36A4	0.846412	1.03459	0.154867	1.32077	0.922494	-1.01779	0.197113	-1.28593	0.910966	-1.02173	0.00846976	-1.8596	
ZNF85	0.775864	1.03459	0.0017224	1.56242	0.361327	1.11998	0.0367049	1.32775	0.0261606	1.35433	0.207738	1.21259	
NHEG1	0.67053	1.03471	0.307227	-1.09456	0.856867	-1.01503	0.167469	1.13095	0.00152257	1.35453	0.00679606	1.33913	
TUBG2	0.600407	1.03473	0.00073541	1.30417	0.00354379	1.23462	0.160858	-1.10689	0.10375	-1.12583	0.255979	1.09905	
HGSNAT	0.811787	1.03485	0.0699988	1.3411	0.229306	1.19808	0.040041	1.39834	0.360587	1.15607	0.408884	1.16308	
SLCO2A1	0.655843	1.03519	1.16686e-005	1.55493	0.0724648	-1.1592	4.92615e-008	1.83587	0.0634106	1.17615	1.97812e-008	2.08505	
LOC100505869	0.727452	1.0353	0.0068382	1.36856	0.198088	1.14343	3.75156e-009	-2.42447	2.17782e-006	-1.87927	2.76876e-013	-4.66022	
GADD45B	0.89336	1.0354	0.287233	1.35714	0.799292	1.07055	0.587244	1.16727	0.571588	1.17494	0.00662357	-2.58459	
HNRNPM	0.799508	1.03541	0.106337	1.28099	0.790878	1.03823	0.120797	1.26807	0.100161	1.28701	0.949711	-1.01098	
LDHAL6A	0.590921	1.03543	0.228737	-1.09007	0.714762	-1.02472	0.0351175	-1.16755	0.487104	-1.05063	0.450616	-1.06391	
CD24	0.896854	1.03546	0.0651775	1.74873	0.670908	1.12538	1.66715e-006	5.65856	0.00037095	3.22508	1.63639e-005	5.62861	
HOXA5	0.860543	1.03576	3.26585e-006	3.44672	0.000155076	2.42506	0.00733372	1.86799	0.000457007	2.35062	0.000935907	2.51105	
SEC24B	0.826058	1.03579	0.100246	1.3427	0.938852	1.01275	0.0814997	-1.36782	0.0331666	-1.47399	0.00198984	-1.97303	
GLRX3	0.851034	1.03588	0.179146	1.32364	0.564133	1.1186	0.00481185	-1.86018	0.110816	-1.39781	0.0106058	-1.89942	
LOC554249	0.860711	1.03588	0.0183558	1.72327	0.163161	1.34189	0.697398	1.08943	0.0733055	1.49921	0.0688649	1.60868	
ZNF761	0.623856	1.03606	0.000303243	1.37687	0.0295194	1.18383	0.000617659	1.34917	0.0836797	1.15042	0.753593	1.02906	
ALS2CR12	0.623954	1.03614	2.36596e-006	1.57814	0.0901146	1.13841	2.05398e-006	1.58439	7.41574e-013	2.53819	0.00322243	1.3368	
PRKAA1	0.869008	1.03618	0.123489	1.44904	0.450238	1.18388	0.31674	1.26907	0.653614	-1.11191	0.368499	-1.27984	
ZNF107	0.752899	1.03651	1.13081e-006	2.11941	0.0197975	1.33238	2.21842e-006	2.05723	3.7063e-006	2.01128	1.60771e-008	2.97628	
ZNF263	0.659782	1.03662	0.00781105	1.28742	0.338898	1.08458	0.446275	1.07078	0.00234866	1.34251	0.169809	1.15481	
ELMOD2	0.821477	1.03738	0.0327214	1.48507	0.867279	1.02847	0.441231	1.1478	0.123433	1.32308	0.437745	-1.17398	
RN5S18	0.842239	1.0374	0.152499	1.3419	0.586544	1.10942	0.122827	-1.37447	0.56645	1.12314	0.371097	-1.23373	
NKX3-1	0.81907	1.03745	0.0285381	1.4942	0.430585	1.14052	0.305072	-1.19978	0.777491	-1.05103	0.312929	1.22982	
MYH7	0.765977	1.0375	0.108592	1.24862	0.15406	1.20333	0.0568792	1.3046	0.505363	1.09474	0.280659	1.18569	
ARHGEF19	0.70947	1.03753	0.434727	-1.08866	0.674083	-1.0439	0.805438	1.02702	0.0465997	1.24944	0.00231869	1.51044	
HPGDS	0.839048	1.03753	0.641839	-1.09699	0.826783	-1.04185	0.165833	1.32286	0.620039	-1.10373	0.302026	-1.26984	
SP3	0.630955	1.03778	6.02838e-005	1.47741	0.0621606	1.1652	0.000477962	1.38814	0.00947304	1.26118	0.169157	1.14588	
SPAG1	0.861027	1.03782	9.69551e-007	4.103	4.57509e-005	2.81131	3.15758e-006	3.72326	0.009017	1.90234	0.24689	1.36895	
CDHR3	0.616179	1.03795	3.83789e-006	1.57495	0.238962	-1.09554	9.95394e-005	1.43504	7.74734e-006	1.54365	0.00317289	-1.34767	
KIAA0101	0.788916	1.03799	0.0165818	1.46778	0.88173	1.02162	0.00202937	1.667	2.51099e-006	2.40005	5.74745e-008	3.49127	
DCUN1D2-AS2	0.716623	1.03801	0.434679	-1.09233	0.706134	-1.04084	0.28655	1.12864	0.0810321	1.22308	0.00109339	1.59242	
CMKLR1	0.912855	1.03805	0.0869493	1.92682	0.40252	1.34543	0.281176	1.50191	0.655778	1.1816	0.58204	-1.26888	
RBKS	0.599563	1.03823	0.00244147	1.2921	0.24377	1.0907	0.888466	-1.01101	0.659185	1.0351	0.755438	-1.02851	
MIR100	0.787323	1.03835	0.106772	1.28634	0.118049	1.25828	0.0184994	-1.45822	0.871808	-1.02495	0.000100899	-2.18854	
USP2	0.702811	1.03837	1.21785e-006	1.91113	0.741108	1.03424	0.00684532	1.36481	0.00127292	-1.46342	6.35508e-009	-2.68729	
CA11	0.719598	1.03837	0.00073476	1.5341	0.023833	1.29104	9.08696e-012	-3.38265	4.91553e-013	-3.94583	1.16985e-013	-5.35325	
ENPP6	0.865457	1.0389	0.195213	1.38283	0.892341	-1.03198	0.115622	-1.48649	0.142097	-1.44607	0.222483	-1.42181	
PCDHB1	0.851425	1.03894	0.0985563	1.45881	0.129749	1.38449	0.00257391	2.07184	0.91676	-1.02362	0.917783	-1.02698	
NACC1	0.641192	1.03896	0.298878	-1.09858	0.841598	1.01705	0.590921	-1.04951	0.538526	-1.05689	0.349042	1.10262	
SNW1	0.839572	1.03908	0.058078	1.49968	0.502981	1.1405	0.377234	1.20242	0.383707	-1.19939	0.0011291	-2.35161	
CSGALNACT2	0.815268	1.03928	0.00271988	1.79513	0.465463	1.13293	0.0048948	-1.72293	0.663917	-1.08175	0.00107579	-2.11323	
LYSMD3	0.839031	1.03977	1.23533e-005	2.97246	0.0244945	1.59302	0.0888199	-1.44299	0.0789365	-1.46118	6.25287e-005	-3.06333	
ZNF726	0.669947	1.03983	0.0174297	1.28421	0.313044	1.10094	0.635495	1.04875	0.00785978	1.32729	0.0640243	1.24696	
ZNF480	0.766117	1.03984	0.0226157	1.40877	0.339765	1.13929	0.0244532	1.40189	0.0371686	1.36472	0.437594	-1.13829	
DTX2	0.49361	1.0399	2.07354e-005	1.36582	0.00234881	1.21384	0.00648293	1.19837	0.0016095	1.23916	1.22954e-007	1.63437	
PCGF1	0.493417	1.04009	0.000710258	1.26401	0.0254975	1.14756	0.0497979	1.13536	0.029215	1.15283	0.0615831	-1.14942	
PBK	0.868038	1.04011	0.149609	1.46248	0.442813	1.20742	1.27604e-006	4.71364	1.05976e-011	15.4073	8.52664e-013	33.1722	
RAC1	0.776822	1.04021	0.0814269	1.31293	0.459529	1.11256	0.74081	1.0517	0.302352	-1.17171	0.96495	-1.00776	
LOC100133161	0.622219	1.0406	0.0193652	1.24159	0.1356	1.13498	3.34177e-010	2.23135	5.9328e-009	2.01854	3.97356e-016	4.96919	
FLJ45340	0.658395	1.0406	0.00170583	1.39986	0.00368076	1.33636	4.66363e-013	3.25411	2.12951e-010	2.49161	6.45772e-019	9.56477	
IGHV5-78	0.859375	1.04075	0.402699	1.23104	0.122145	1.44377	0.356763	-1.25759	0.842146	1.05042	0.154808	1.51088	
LOC731275	0.632113	1.04079	0.0133308	1.26889	0.0711325	1.17316	1.36844e-008	2.00805	6.58629e-007	1.76399	1.63429e-014	4.22305	
MB21D1	0.89337	1.04097	1.81866e-005	5.23578	0.00116004	3.00881	0.995814	-1.00172	0.464439	-1.27268	0.0604745	-2.0813	
EPHX2	0.643275	1.04104	0.0146281	1.27634	0.7563	1.0282	0.0222107	1.25493	0.451321	-1.07451	0.000181372	-1.59072	
PAGE2	0.729109	1.04111	0.455149	-1.10024	0.688521	-1.04936	0.972628	1.00438	0.169612	1.19443	0.0718173	1.31265	
ZFAND2A	0.615069	1.04121	7.22426e-008	1.85152	1.48315e-008	1.87672	0.0530748	-1.19162	0.214042	-1.11685	0.12749	-1.17066	
POSTN	0.939285	1.04126	0.42023	1.60196	0.0794781	2.68283	0.849482	1.1167	0.738997	-1.21398	0.0240689	4.86543	
PI4KAP2	0.698667	1.0414	0.0622383	1.24634	0.314146	1.11599	0.000696858	-1.53686	1.31448e-005	-1.80674	0.00163881	-1.57514	
LOC100507334	0.921127	1.04159	0.178855	1.85032	0.16352	1.8258	0.656619	-1.22232	0.638212	-1.23659	0.869366	1.0894	
HSPA2	0.86031	1.04161	0.10679	1.51939	0.733315	1.08499	0.000106318	-3.07162	0.000131205	-3.01404	8.39665e-009	-9.88774	
RN5S284	0.778823	1.04164	0.145225	1.26595	0.0683871	1.32453	0.714985	1.05985	0.0326193	1.42374	0.0419431	1.47242	
NRG1	0.812992	1.04172	0.0614613	1.43983	0.548637	1.11328	0.613713	-1.10043	0.218367	1.26602	0.345474	1.23078	
LHFPL1	0.736541	1.04174	0.504858	-1.09313	0.691569	-1.05108	0.0201274	1.38237	0.738477	-1.04546	0.493458	1.11139	
FAM138E	0.589894	1.04182	0.282566	-1.09433	0.283054	-1.08861	0.815335	-1.0196	0.206638	1.11219	0.0192709	1.26525	
CFLAR	0.681705	1.04199	7.11847e-006	1.80343	0.0374665	1.25024	0.00198588	1.44572	0.00561562	1.38352	0.635017	1.0621	
B3GNT9	0.602651	1.04206	9.36068e-006	1.57859	0.000143026	1.42207	0.0633491	1.17983	0.710812	-1.03262	0.485406	1.07246	
SPTSSB	0.843933	1.04213	0.00377475	2.04385	0.608803	1.11739	5.18272e-005	-2.92589	0.0741167	-1.52382	5.4533e-006	-4.2606	
EPN2-AS1	0.577978	1.04222	0.256041	-1.09774	0.936942	-1.00608	0.0442325	1.18428	0.599839	1.04363	0.00172543	1.37715	
MRPL40	0.698505	1.04248	0.000591799	1.56439	0.771201	1.03277	0.719495	-1.04315	0.00265658	-1.46499	2.66403e-011	-3.96352	
FOXF1	0.779771	1.04256	0.000111113	2.05306	0.047705	1.37027	0.957397	1.00876	0.533587	1.1073	0.559903	-1.11647	
TRAM1	0.809929	1.04265	0.00753122	1.71664	0.413569	1.15882	0.157825	1.31409	0.697006	1.07694	0.189831	-1.33921	
CACNG2	0.697555	1.04291	0.443341	-1.09539	0.98982	-1.00142	9.89304e-021	-15.2449	2.2634e-021	-17.6146	3.0164e-019	-16.2425	
CDK2	0.533994	1.04294	0.000771242	1.31511	0.10705	1.12148	1.24316e-013	2.54011	4.76459e-014	2.63212	1.1244e-014	3.25919	
FLJ45832	0.83747	1.04314	0.248139	1.30125	0.334145	1.22987	0.497933	-1.16578	0.561358	1.14033	0.96624	1.01108	
ZCCHC10	0.772237	1.04326	0.116313	1.29286	0.205481	1.21385	0.74682	-1.05311	0.178911	-1.24434	0.000805575	-1.98059	
SAYSD1	0.628782	1.04332	0.375803	-1.08926	0.416967	1.07659	0.0644758	1.20027	0.0436149	1.22183	0.0719852	-1.22729	
ECT2	0.750082	1.04341	0.000449259	1.76949	0.0110392	1.44758	0.437979	1.12057	1.70462e-007	2.66164	2.8276e-009	4.01301	
RNF11	0.736715	1.04372	0.0380887	1.34944	0.42368	1.11142	1.18885e-007	-2.59093	7.86297e-009	-2.98314	2.67029e-008	-3.28015	
TPM3	0.721964	1.04397	0.0950135	1.25387	0.246139	1.15761	0.388042	1.12181	0.983526	-1.00274	0.935325	1.01248	
TMEM87B	0.873884	1.04436	0.00161648	2.79936	0.00591556	2.29257	0.699753	-1.1226	0.404071	-1.28578	0.625179	1.18445	
RBM38	0.744358	1.04443	0.000407504	1.77779	0.281534	1.16137	0.483781	1.10804	0.061399	1.32473	0.285922	1.19905	
KCNJ3	0.741987	1.04458	0.16154	1.22919	0.996897	-1.00053	1.55115e-014	-7.28001	2.54523e-016	-10.1518	2.14589e-014	-9.6196	
LOC388692	0.822967	1.04459	0.245338	1.28519	0.048437	1.50789	0.274329	1.26589	0.507543	1.15259	0.0139626	1.89337	
MICAL2	0.790625	1.04466	6.31905e-008	3.57229	0.00269187	1.73519	2.32602e-007	-3.27911	1.56314e-009	-4.60228	3.52733e-009	-5.45547	
MAGEB5	0.711272	1.04505	0.496914	-1.09291	0.990569	-1.00145	0.180399	-1.19383	0.561782	-1.07874	0.837941	-1.03125	
GABRG2	0.654986	1.0451	0.394074	-1.097	0.990424	-1.00122	4.26053e-025	-33.853	1.05449e-025	-40.2147	7.53081e-024	-39.8493	
SPDYA	0.664813	1.04526	1.22546e-005	1.78467	0.0742434	1.21316	0.012701	1.3414	0.0121402	1.34421	0.842024	1.02606	
RNF7	0.650533	1.04536	0.0422682	1.25268	0.225209	1.132	0.87594	1.01686	0.199357	-1.14955	0.618018	-1.06374	
ATP5B	0.717145	1.04554	0.0140707	1.41596	0.225969	1.16819	2.5069e-005	-1.94146	0.000274947	-1.73224	0.00100459	-1.7529	
RFC5	0.434351	1.04577	0.000457662	1.27557	0.0433022	1.13098	4.32779e-014	2.27298	1.93872e-011	1.89977	2.51921e-014	2.63313	
COX7C	0.755255	1.04588	0.592667	-1.08813	0.510178	-1.10313	0.0145968	-1.49911	0.000807945	-1.78932	2.5861e-007	-3.29279	
TCEA3	0.7388	1.04588	0.00257889	1.61619	0.177096	1.20959	0.0613005	1.32826	2.80285e-005	2.05542	0.0203829	1.51119	
DPAGT1	0.695976	1.04605	3.37475e-005	1.83776	0.914495	1.01284	0.00305175	1.49609	0.000120085	1.73688	0.0242355	1.40851	
GDF5OS	0.617156	1.04632	0.390173	-1.0894	0.996486	1.00041	0.483242	1.0722	0.0819726	1.19331	0.0604461	1.24761	
PRC1	0.817347	1.04638	0.0983871	1.43849	0.0845624	1.43118	1.71819e-005	2.97062	2.62937e-009	5.9141	7.51482e-012	14.2464	
RANBP9	0.715072	1.04639	0.0114059	1.43809	0.0013547	1.56657	0.00026238	-1.74626	3.78103e-005	-1.91705	0.00184392	-1.70175	
ZCCHC9	0.687191	1.04648	0.00829081	1.41338	0.0698579	1.24227	0.479929	1.0915	0.0923259	1.23716	0.0055863	-1.52497	
LOC100131434	0.605936	1.04656	0.00506814	1.33532	0.120391	1.155	2.08884e-007	1.89498	8.0312e-008	1.95969	2.77249e-008	2.272	
FURIN	0.461452	1.04664	1.30011e-005	1.41693	0.000325351	1.29187	0.391582	-1.05991	0.000592189	-1.29305	0.0726659	1.15463	
RNU2-7P	0.708116	1.0469	0.474381	-1.10102	0.00956656	1.41437	3.53827e-005	1.90504	0.000363542	1.70525	0.0337525	1.40674	
RPS19BP1	0.195569	1.04736	2.73558e-007	1.28692	0.00221782	1.12839	0.000187058	-1.1771	0.000133223	-1.18261	2.05732e-010	-1.51306	
HINFP	0.676035	1.04737	0.0419901	1.29073	0.736925	-1.03915	0.803395	1.03063	0.0153918	1.36164	0.0511129	1.32557	
KIF20A	0.789113	1.04748	0.0434838	1.4873	0.468529	1.13922	0.00067458	2.04214	1.79197e-009	4.94599	6.67557e-010	6.90137	
BCAP29	0.835805	1.04749	0.000467468	2.5973	0.00732703	1.9336	0.693966	-1.1014	0.313024	-1.28333	0.299309	-1.34512	
SLC25A35	0.617178	1.0475	0.0108773	1.31424	0.931017	1.00832	4.8722e-005	1.61102	0.0014571	1.42297	1.12459e-005	1.84228	
CCDC104	0.59652	1.04753	0.374526	-1.08948	0.227826	1.11667	2.68846e-005	-1.6008	0.00668179	-1.31921	8.74358e-005	-1.64428	
BNIP2	0.750331	1.04757	0.000511905	1.85369	0.0603094	1.33881	0.280713	1.19024	0.469405	1.12318	0.733029	1.06505	
UBA6	0.735499	1.04769	0.00320792	1.61533	0.761814	1.04411	0.134199	-1.25913	0.614793	-1.07909	0.101852	-1.33869	
ZNF99	0.660419	1.04796	0.0786458	1.23437	0.3093	1.11937	0.0021102	-1.47571	0.054087	-1.26093	0.0466279	-1.31936	
L3MBTL2	0.336789	1.048	7.39484e-008	1.45042	0.0155873	1.13565	0.822016	-1.01201	5.26556e-005	-1.28129	2.3408e-007	-1.49729	
NDUFC1	0.702554	1.0482	5.97406e-005	1.86645	0.204332	1.17776	0.0559762	-1.30462	0.29773	-1.15227	0.0192399	-1.46532	
ARSK	0.790569	1.04821	0.270174	1.24141	0.376484	-1.17695	0.00842328	-1.72098	0.001093	-2.00461	6.60928e-008	-4.85553	
MIR517A	0.362015	1.04823	0.102642	-1.09839	0.345791	-1.05163	2.25487e-005	-1.32228	0.000569687	-1.23964	0.240155	-1.08019	
IGKV1D-16	0.704061	1.04823	0.0242227	1.37626	0.178217	1.19111	0.00374991	1.52638	0.356462	1.1343	4.93547e-006	2.36853	
GLMN	0.763236	1.0485	0.0215197	1.51283	0.86418	-1.02815	0.34451	-1.17814	0.267661	-1.21261	0.128174	-1.36119	
LOC731779	0.645033	1.04856	0.427894	-1.09386	0.878888	-1.01631	0.238629	1.14363	0.00548387	1.39669	0.00263011	1.52625	
CHRNA3	0.89458	1.04881	0.00717032	3.08711	0.930385	-1.03298	0.992955	-1.00348	0.843511	1.08089	0.686594	1.20174	
CENPP	0.699172	1.04883	3.5081e-006	2.13622	0.0206491	1.36115	0.000794905	1.64772	2.75231e-006	2.16104	0.000133033	1.96794	
ACTR3BP2	0.660185	1.04904	0.464616	-1.09142	0.85678	1.02048	0.00222106	-1.48449	0.0553036	-1.26554	0.410596	-1.12053	
PRPF19	0.381878	1.04908	1.69941e-005	1.35296	0.333083	1.05638	2.56373e-010	-1.73064	1.47879e-012	-1.97849	2.51422e-014	-2.52316	
MIR548Q	0.670654	1.04927	0.092334	1.23774	0.167689	1.17764	0.00173258	1.5249	0.0081614	1.41557	0.0443621	1.34618	
RNF213	0.84158	1.0493	0.000819583	2.6448	0.101118	1.51734	8.10932e-005	3.29213	0.017562	1.92928	0.0274595	2.01335	
C6orf141	0.755878	1.0493	0.00289326	1.72461	0.0111592	1.53487	0.0094526	1.59353	0.214519	1.23747	0.00315086	1.86435	
PLCD4	0.583366	1.04933	0.00123303	1.40413	0.000688715	1.40411	0.508377	1.06575	0.0162622	1.27409	0.00821126	1.36473	
WHSC1	0.597484	1.04935	0.0256508	1.26134	0.274498	1.10934	0.235504	1.12715	2.31982e-005	1.63971	8.33792e-007	2.026	
LOC653075	0.812501	1.04949	0.013397	1.78809	0.192115	1.32072	0.0550885	1.55477	0.000160597	2.59511	4.4308e-005	3.38181	
CEP97	0.704125	1.04975	0.0432051	1.34024	0.712683	1.04982	0.000665779	-1.69326	0.0628453	-1.30736	0.192649	-1.23798	
P2RX6P	0.695692	1.0498	0.0641514	1.29576	0.220177	1.17252	0.168454	-1.20955	0.913344	1.0149	0.593104	1.08771	
HPS3	0.776947	1.05006	0.00537216	1.75386	0.00952703	1.63045	0.413629	1.16788	0.0193229	1.58847	0.994678	-1.00146	
LINC00516	0.608226	1.05008	0.0014219	1.43785	0.000499604	1.4625	0.947536	-1.00688	0.0703134	1.21401	0.0317923	1.30829	
ADRA2A	0.453266	1.05014	0.000182995	1.35106	0.162778	1.09983	0.000478622	-1.31827	0.0130434	-1.20463	6.3785e-010	-2.06484	
LINC00174	0.509042	1.05035	0.00217248	1.31003	0.0129468	1.22217	7.43325e-009	1.89438	2.53417e-007	1.70348	2.14959e-011	2.61235	
MIR1289-2	0.590254	1.05065	0.400729	-1.08846	0.781351	1.0266	0.570659	1.05867	0.752094	1.03221	0.0136022	1.35128	
MCOLN1	0.615556	1.0507	0.424975	-1.0902	0.489181	-1.07303	0.235037	1.13812	0.338798	-1.10936	0.0350747	-1.31277	
HIST1H2BO	0.778757	1.05093	0.0618224	1.45124	0.601951	1.10011	0.000637255	2.07899	3.84697e-009	4.81634	8.17039e-011	8.68644	
CABP7	0.639703	1.0511	0.433296	-1.09602	0.329189	-1.11399	0.0576204	-1.25596	0.903137	1.01427	0.349171	1.13515	
WDR53	0.42311	1.05113	8.07815e-006	1.43557	0.000161466	1.31442	0.0368173	1.15835	0.00192011	1.25703	0.00409421	1.2731	
TIMELESS	0.571339	1.05126	0.00217363	1.37831	0.00107621	1.386	1.0463e-008	2.10978	1.42708e-011	2.73283	3.05906e-014	4.41976	
MIR663A	0.656096	1.05154	0.471061	-1.09346	0.872866	1.0188	0.759651	-1.03851	0.033472	1.31363	0.391984	1.13061	
NXPE3	0.543443	1.05158	1.65042e-009	2.14675	1.01951e-005	1.56413	2.87909e-011	-2.49526	1.54613e-007	-1.83896	0.000335905	-1.52026	
SPHKAP	0.713889	1.05183	0.146749	1.24958	0.0681123	1.30586	7.7926e-013	-5.8762	1.05646e-012	-5.75076	2.77549e-010	-4.93393	
ZNF844	0.717379	1.05189	0.00133375	1.71031	0.499146	-1.10278	0.691955	1.06256	0.356776	1.15253	0.0450425	-1.44242	
FAM127A	0.596826	1.05196	0.000144217	1.57088	0.00329274	1.36684	0.192566	1.14838	0.746272	-1.03447	0.001282	1.53087	
ZNF461	0.740539	1.05202	0.000276391	1.98244	0.137466	1.27016	0.414983	-1.14728	0.727382	-1.06023	0.000288385	-2.19733	
EI24	0.579385	1.05218	0.0006372	1.46095	0.918701	-1.0097	0.0340327	1.24713	0.00170143	1.40872	0.6801	-1.04896	
PHTF1	0.660943	1.05241	3.36477e-005	1.84993	0.00566444	1.42609	0.309741	1.13942	0.146408	1.20725	0.00129918	1.6779	
XAF1	0.934144	1.05252	3.81526e-005	25.7152	0.0235906	4.54161	0.0736164	3.48178	0.692761	1.30796	0.878203	1.12761	
DNAJC30	0.618094	1.05308	5.49566e-007	2.03884	2.85966e-005	1.68615	0.144405	-1.18358	0.280346	-1.13161	0.300877	-1.14649	
SFMBT1	0.547446	1.05313	0.000971395	1.4061	0.000146862	1.46491	4.56849e-005	1.55855	0.00332603	1.3462	1.64776e-005	1.73551	
MBNL1	0.764244	1.05327	0.0344473	1.51615	0.06045	1.41271	0.669238	-1.08441	0.373586	-1.1849	0.206258	-1.3234	
C1orf130	0.548547	1.05348	0.000114903	1.51731	0.00505539	1.30773	0.17233	-1.14054	0.873895	-1.01517	0.151268	1.17344	
KIF23	0.762857	1.05376	0.089853	1.39129	0.22481	1.24627	1.9464e-007	3.54112	6.43302e-012	7.74157	9.26591e-015	21.4068	
ABCA17P	0.38852	1.05391	0.190363	-1.09208	0.663493	-1.02761	0.000641906	-1.28463	0.772534	1.01936	8.8046e-006	-1.50036	
ATG16L1	0.665876	1.05397	6.95808e-005	1.83842	2.73956e-005	1.85016	0.0768601	-1.27369	0.0189682	-1.38746	0.0716592	-1.32935	
TULP3	0.700442	1.05408	0.0524505	1.34983	0.0102905	1.46739	0.766787	-1.04546	0.0180158	1.45022	0.32085	1.18903	
AGFG2	0.611844	1.05422	1.21662e-005	1.80392	0.00113761	1.46615	2.47894e-005	1.75336	0.89789	-1.01471	0.895615	1.01738	
LOC100506390	0.881588	1.05423	0.0723305	2.04872	0.269418	1.50454	0.905002	1.04743	0.557761	-1.25641	0.987893	1.00683	
FAM177A1	0.693621	1.0545	0.0526177	1.34303	0.164106	1.21718	0.017563	-1.44388	0.0107411	-1.48826	3.7223e-005	-2.26097	
RNY4P20	0.761335	1.05451	0.637583	-1.09447	0.678466	-1.07774	0.105018	-1.37307	0.745437	-1.06412	0.758045	1.07046	
EFCAB7	0.677865	1.05477	0.090529	1.27577	0.267557	1.15988	0.000943057	-1.66656	0.0437558	-1.34066	0.112403	-1.3008	
FMO4	0.806035	1.05479	7.47497e-005	2.94986	3.42992e-005	2.94891	0.0681904	1.56244	0.762048	1.07473	0.180004	-1.45337	
STYX	0.806759	1.05482	0.104499	1.48681	0.630234	1.11476	0.696611	-1.09775	0.0157825	-1.83358	3.94643e-005	-3.73124	
ATP6V0E1	0.737946	1.05505	0.00107836	1.87549	0.0117449	1.55233	0.000273968	2.0467	0.0016684	1.82281	0.398363	1.18764	
HKDC1	0.540407	1.05514	0.00614282	1.32298	0.0732197	1.1808	0.0187693	1.26607	0.0516204	1.21224	0.352034	1.10921	
SRGN	0.735045	1.05565	0.192585	1.26049	0.716585	1.06184	0.244729	-1.22884	0.143365	-1.29821	0.00778351	1.77186	
